gene	G1	G2	G3	G4	N1	N2	N3	N4	N5
FBgn0040107	0	62	1	0	0	0	0	0	0
FBgn0031273	0	0	0	1	0	0	1	0	1
FBgn0266909	0	0	0	0	0	0	0	0	0
FBgn0284247	0	0	98	0	38	0	0	183	10
FBgn0266323	0	0	0	0	2	0	0	0	0
FBgn0267993	0	0	0	0	9	0	0	0	0
FBgn0011244	0	0	0	0	1	0	4	5	0
FBgn0026438	3	435	4	49	2152	293	2291	318	2143
FBgn0031275	2	1	0	19	440	3	18	14	97
FBgn0265825	0	0	0	0	0	0	0	0	0
FBgn0031276	0	0	0	0	0	0	0	0	0
FBgn0040725	0	0	0	0	0	0	0	0	0
FBgn0031277	0	0	0	0	0	0	0	0	0
FBgn0041250	0	0	0	0	0	0	0	0	0
FBgn0031279	0	0	0	0	0	0	0	0	0
FBgn0000442	0	0	0	0	0	0	0	0	0
FBgn0266797	0	0	0	0	0	0	0	0	0
FBgn0051658	0	0	0	0	1	0	0	0	0
FBgn0086130	130	0	446	8	0	15	159	0	117
FBgn0031281	6	0	0	0	141	2	1	198	0
FBgn0031282	244	0	141	0	0	14	148	0	0
FBgn0031283	0	0	0	0	0	0	0	0	0
FBgn0031284	8	0	114	0	0	1	0	161	0
FBgn0015621	0	432	77	14	664	25	229	64	1
FBgn0031285	1457	896	1269	322	11685	1182	6515	3866	4811
FBgn0031286	0	547	3	0	530	0	0	152	0
FBgn0010583	27	6	726	12	5653	164	1117	567	2163
FBgn0020304	178	30	251	71	488	9	61	17	222
FBgn0264869	0	0	0	0	0	0	0	0	0
FBgn0031287	1	0	0	0	315	60	251	0	475
FBgn0020545	176	465	0	0	392	5	21	238	0
FBgn0031288	1	0	0	0	0	0	0	0	0
FBgn0266884	0	0	0	0	0	0	0	0	0
FBgn0262177	0	0	0	0	0	0	0	0	0
FBgn0031289	0	0	0	0	1	16	174	0	0
FBgn0029095	0	0	0	0	16	2	3	3	2
FBgn0086031	0	0	0	0	0	0	0	0	0
FBgn0020305	364	0	190	10	497	0	1	3	76
FBgn0053526	879	2574	1492	243	1323	291	2033	970	2772
FBgn0031292	0	0	1	0	1	0	0	1	0
FBgn0002936	0	0	0	0	0	0	0	0	0
FBgn0266887	0	0	41	0	0	0	0	0	0
FBgn0002563	0	0	85	0	8	0	1	9	12
FBgn0003916	0	0	0	0	0	0	0	0	0
FBgn0266799	0	0	0	0	0	0	0	0	0
FBgn0264870	0	0	0	0	0	0	0	0	0
FBgn0046113	0	0	0	0	0	0	0	1	0
FBgn0028481	76	2	1	2	341	110	675	206	203
FBgn0266036	0	0	0	0	0	0	0	1	0
FBgn0031294	589	1142	1432	89	25156	1564	7718	7581	15083
FBgn0031295	0	160	1	0	0	0	3	1	0
FBgn0031296	0	2	0	0	0	0	0	0	0
FBgn0003310	151	0	113	39	487	35	256	119	167
FBgn0015905	0	0	0	11	0	66	342	66	129
FBgn0031298	5	1	2	0	400	1	2	1	342
FBgn0031299	18	1	21	13	160	1	0	85	93
FBgn0261938	292	0	2	0	573	1	0	0	1
FBgn0031301	0	0	0	0	0	0	0	0	0
FBgn0031302	0	0	2	0	0	0	0	1	0
FBgn0016926	530	1229	871	14	0	1	0	28	0
FBgn0031304	1	0	0	0	0	0	0	0	319
FBgn0031305	0	0	0	1	0	0	0	0	0
FBgn0031306	0	6	2	1	4297	244	2002	1228	2724
FBgn0267281	0	0	6	1	0	0	0	0	0
FBgn0031307	2324	4733	2539	399	1906	182	1188	850	973
FBgn0283525	0	6	0	1	24	0	0	2	0
FBgn0031309	1	0	28	0	364	5	49	485	0
FBgn0031310	242	301	210	7	8	41	338	62	4
FBgn0261458	38	164	114	52	140	16	129	192	205
FBgn0264267	0	0	0	0	9	0	0	0	1
FBgn0031312	72	3	11	4	140	0	0	67	0
FBgn0031313	1144	1027	590	35	0	0	0	1	0
FBgn0031314	10	664	1	0	0	53	604	2	0
FBgn0031315	0	0	0	1	68	78	385	59	126
FBgn0024314	355	694	118	178	1528	113	855	187	302
FBgn0051922	42	4	0	0	0	0	0	12	23
FBgn0031317	1	126	0	0	0	39	159	426	3
FBgn0031318	427	0	57	0	1046	220	1214	439	1218
FBgn0031319	9	727	205	0	280	93	596	525	670
FBgn0031320	3	0	1	22	4	28	264	240	354
FBgn0031321	3	9	1	9	956	82	728	4	592
